event_id,market_provider,market_details,home_odds,away_odds,home_decimal_odds,away_decimal_odds,home_raw_implied_prob,away_raw_implied_prob,market_home_no_vig_prob,market_away_no_vig_prob,market_spread,market_over_under,home_spread_odds,away_spread_odds
401810190,DraftKings,UTAH -5.5,170,-205,2.7,1.4878048780487805,0.37037037037037035,0.6721311475409836,0.35527082119976705,0.644729178800233,5.5,231.5,-112,-108
401810191,DraftKings,TOR -2.5,-135,114,1.7407407407407407,2.1399999999999997,0.574468085106383,0.4672897196261682,0.551441114716549,0.448558885283451,-2.5,228.5,-112,-108
401810192,DraftKings,MIN -11.5,425,-575,5.25,1.1739130434782608,0.19047619047619047,0.8518518518518519,0.18274111675126903,0.817258883248731,11.5,232.5,-108,-112
401810193,DraftKings,BOS -8.5,-340,270,1.2941176470588236,3.7,0.7727272727272727,0.2702702702702703,0.740871613663133,0.25912838633686697,-8.5,227.5,-112,-108
401810194,DraftKings,ORL -6.5,-225,185,1.4444444444444444,2.85,0.6923076923076923,0.3508771929824561,0.6636481241914618,0.3363518758085382,-6.5,241.5,-110,-110
401810195,DraftKings,DEN -3.5,136,-162,2.3600000000000003,1.617283950617284,0.423728813559322,0.6183206106870229,0.4066302458405761,0.5933697541594238,3.5,238.5,-110,-110
401810196,DraftKings,CLE -5.5,-192,160,1.5208333333333335,2.6,0.6575342465753424,0.38461538461538464,0.6309403437815976,0.3690596562184024,-5.5,239.5,-105,-115
401810197,DraftKings,DET -8.5,-340,270,1.2941176470588236,3.7,0.7727272727272727,0.2702702702702703,0.740871613663133,0.25912838633686697,-8.5,235.5,-105,-115
401810198,DraftKings,NY -16.5,-1350,800,1.074074074074074,9.0,0.9310344827586207,0.1111111111111111,0.8933823529411765,0.10661764705882348,-16.5,243.5,-105,-115
401810199,DraftKings,TOR -6.5,-270,220,1.3703703703703702,3.2,0.7297297297297297,0.3125,0.7001620745542949,0.2998379254457051,-6.5,230.5,-110,-110
401810200,DraftKings,CHI -4.5,-192,160,1.5208333333333335,2.6,0.6575342465753424,0.38461538461538464,0.6309403437815976,0.3690596562184024,-4.5,234.5,-115,-105
401810201,DraftKings,HOU -8.5,-380,300,1.263157894736842,4.0,0.7916666666666666,0.25,0.7600000000000001,0.23999999999999988,-8.5,219.5,-110,-110
401810202,DraftKings,LAC -2.5,114,-135,2.1399999999999997,1.7407407407407407,0.4672897196261682,0.574468085106383,0.448558885283451,0.551441114716549,2.5,222.5,-115,-105
401810203,DraftKings,PHI -1.5,-105,-115,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302325,0.4891657638136511,0.5108342361863489,1.5,221.5,-115,-105
401810204,DraftKings,OKC -15.5,-1200,750,1.0833333333333333,8.5,0.9230769230769231,0.11764705882352941,0.8869565217391304,0.11304347826086958,-15.5,229.5,-112,-108
401810205,DraftKings,BKN -3.5,-166,140,1.6024096385542168,2.4,0.6240601503759399,0.4166666666666667,0.5996387718242023,0.40036122817579767,-3.5,227.5,-115,-105
401810206,DraftKings,ATL -9.5,330,-425,4.3,1.2352941176470589,0.23255813953488372,0.8095238095238095,0.22316684378320936,0.7768331562167906,9.5,237.5,-110,-110
401810207,DraftKings,CLE -8.5,-375,295,1.2666666666666666,3.95,0.7894736842105263,0.25316455696202533,0.7571884984025559,0.24281150159744413,-8.5,230.5,-120,100
401810208,DraftKings,DET -12.5,-675,490,1.1481481481481481,5.9,0.8709677419354839,0.1694915254237288,0.8370993168681029,0.1629006831318971,-12.5,223.5,-112,-108
401810209,DraftKings,MIA -8.5,-360,285,1.2777777777777777,3.85,0.782608695652174,0.2597402597402597,0.7508125677139762,0.2491874322860238,-8.5,241.5,-110,-110
401810210,DraftKings,MIN -8.5,-375,295,1.2666666666666666,3.95,0.7894736842105263,0.25316455696202533,0.7571884984025559,0.24281150159744413,-8.5,227.5,-112,-108
401810211,DraftKings,HOU -6.5,210,-258,3.1,1.3875968992248062,0.3225806451612903,0.7206703910614525,0.30920711694593195,0.690792883054068,6.5,221.5,-105,-115
401810212,DraftKings,NY -1.5,-122,102,1.819672131147541,2.02,0.5495495495495496,0.49504950495049505,0.5260865852617197,0.4739134147382803,-1.5,229.5,100,-120
401810213,DraftKings,BOS -3.5,130,-155,2.3,1.6451612903225805,0.43478260869565216,0.6078431372549019,0.4170073589533933,0.5829926410466066,3.5,224.5,-112,-108
401810214,DraftKings,DEN -10.5,360,-470,4.6,1.2127659574468086,0.21739130434782608,0.8245614035087719,0.20863836017569545,0.7913616398243045,10.5,235.5,-115,-105
401810215,DraftKings,MEM -1.5,-125,105,1.8,2.05,0.5555555555555556,0.4878048780487805,0.5324675324675325,0.46753246753246747,-1.5,232.5,-115,-105
401810216,DraftKings,GS -1.5,-105,-115,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302325,0.4891657638136511,0.5108342361863489,1.5,229.5,-118,-102
401810217,DraftKings,LAL -2.5,120,-142,2.2,1.704225352112676,0.45454545454545453,0.5867768595041323,0.43650793650793646,0.5634920634920635,2.5,233.5,-105,-115
401810218,DraftKings,OKC -11.5,440,-600,5.4,1.1666666666666667,0.18518518518518517,0.8571428571428571,0.17766497461928932,0.8223350253807107,11.5,233.5,-102,-118
401810219,DraftKings,IND -3.5,-162,136,1.617283950617284,2.3600000000000003,0.6183206106870229,0.423728813559322,0.593369754159424,0.40663024584057605,-3.5,231.5,-115,-105
401810220,DraftKings,MIN -8.5,-375,295,1.2666666666666666,3.95,0.7894736842105263,0.25316455696202533,0.7571884984025559,0.24281150159744413,-8.5,225.5,-105,-115
