source_report,game_type,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
nhl_skater_summary,3,2,7,9,0.60759,3,16,10,Howden,1,4,8479353,9,12,0.75,C,0,0,20252026,3,3,0.35714,L,28,Brett Howden,VGK,1006.1875
nhl_skater_summary,3,3,0,3,,0,15,1,McNabb,0,19,8475188,7,4,0.26666,D,0,0,20252026,1,1,0.05555,L,18,Brayden McNabb,VGK,1251.6
nhl_skater_summary,3,4,2,5,0.0,1,13,3,Svechnikov,1,24,8480830,0,7,0.53846,R,1,2,20252026,0,0,0.06976,L,43,Andrei Svechnikov,CAR,1081.2307
nhl_skater_summary,3,3,3,5,0.46511,2,13,4,Aho,0,10,8478427,3,7,0.53846,C,1,2,20252026,0,0,0.15384,L,26,Sebastian Aho,CAR,1264.5384
nhl_skater_summary,3,5,3,7,0.0,0,13,3,Jarvis,0,2,8482093,3,8,0.61538,R,0,1,20252026,0,0,0.0909,R,33,Seth Jarvis,CAR,1210.2307
nhl_skater_summary,3,5,1,6,0.0,0,11,5,Stone,0,6,8475913,-1,10,0.90909,R,4,4,20252026,0,0,0.21739,R,23,Mark Stone,VGK,1126.0
nhl_skater_summary,3,3,7,10,0.46206,3,13,9,Stankoven,0,6,8482702,8,12,0.92307,C,2,2,20252026,0,0,0.19565,R,46,Logan Stankoven,CAR,1013.0769
nhl_skater_summary,3,2,0,2,,0,2,0,Reilly,0,2,8476422,2,2,1.0,D,0,0,20252026,0,0,0.0,L,2,Mike Reilly,CAR,774.5
nhl_skater_summary,3,3,0,3,0.5,0,13,0,Carrier,0,0,8477478,4,3,0.23076,L,0,0,20252026,0,0,0.0,L,12,William Carrier,CAR,624.2307
nhl_skater_summary,3,10,5,13,,2,13,5,Blake,1,18,8482809,8,15,1.15384,R,0,2,20252026,0,0,0.16129,R,31,Jackson Blake,CAR,1094.8461
nhl_skater_summary,3,4,1,2,,0,13,2,Gostisbehere,0,14,8476906,4,6,0.46153,D,1,4,20252026,0,0,0.1,L,20,Shayne Gostisbehere,CAR,1133.0
nhl_skater_summary,3,3,1,3,0.52054,0,13,2,Staal,0,11,8473533,4,5,0.38461,C,1,1,20252026,0,1,0.11111,L,18,Jordan Staal,CAR,1069.0769
nhl_skater_summary,3,0,0,0,,0,1,0,Deslauriers,0,4,8475235,0,0,0.0,L,0,0,20252026,0,0,0.0,L,1,Nicolas Deslauriers,CAR,189.0
nhl_skater_summary,3,2,0,2,,0,13,0,Slavin,0,0,8476958,0,2,0.15384,D,0,0,20252026,0,0,0.0,L,19,Jaccob Slavin,CAR,1393.3076
nhl_skater_summary,3,2,3,5,0.0,1,16,3,Smith,0,22,8482062,4,5,0.3125,R,0,0,20252026,0,0,0.3,L,10,Cole Smith,VGK,700.9375
nhl_skater_summary,3,4,6,9,,1,16,10,Dorofeyev,1,0,8481604,5,14,0.875,R,4,5,20252026,0,0,0.23809,L,42,Pavel Dorofeyev,VGK,1008.0625
nhl_skater_summary,3,5,0,5,,0,16,0,Andersson,0,14,8478397,4,5,0.3125,D,0,0,20252026,0,0,0.0,R,22,Rasmus Andersson,VGK,1416.5
nhl_skater_summary,3,7,5,12,0.5,2,16,5,Barbashev,0,8,8477964,4,12,0.75,L,0,0,20252026,0,0,0.20833,L,24,Ivan Barbashev,VGK,1042.125
nhl_skater_summary,3,6,0,6,,0,16,0,Hanifin,0,2,8478396,3,6,0.375,D,0,0,20252026,0,0,0.0,L,23,Noah Hanifin,VGK,1432.25
nhl_skater_summary,3,1,0,1,,0,11,0,Nikishin,0,2,8482100,2,1,0.0909,D,0,0,20252026,0,0,0.0,L,8,Alexander Nikishin,CAR,915.1818
nhl_skater_summary,3,4,0,4,,1,13,1,Chatfield,0,10,8478970,2,5,0.38461,D,0,0,20252026,1,1,0.04347,R,23,Jalen Chatfield,CAR,1332.3846
nhl_skater_summary,3,0,0,0,,0,6,0,Lauzon,0,4,8478468,0,0,0.0,D,0,0,20252026,0,0,0.0,L,5,Jeremy Lauzon,VGK,993.1666
nhl_skater_summary,3,8,0,6,,0,13,0,Miller,0,4,8480817,14,8,0.61538,D,0,2,20252026,0,0,0.0,L,15,K'Andre Miller,CAR,1435.3846
nhl_skater_summary,3,2,1,3,,0,8,1,Coghlan,0,2,8479639,8,3,0.375,D,0,0,20252026,0,0,0.0909,R,11,Dylan Coghlan,VGK,905.25
nhl_skater_summary,3,4,0,4,0.47972,0,13,0,Jankowski,0,12,8476873,3,4,0.30769,L,0,0,20252026,0,0,0.0,L,11,Mark Jankowski,CAR,724.7692
nhl_skater_summary,3,4,2,5,0.70175,0,16,2,Sissons,0,4,8476925,4,6,0.375,C,0,1,20252026,0,0,0.14285,R,14,Colton Sissons,VGK,822.0625
nhl_skater_summary,3,3,3,6,0.0,0,13,3,Robinson,0,14,8480762,5,6,0.46153,L,0,0,20252026,0,0,0.15,L,20,Eric Robinson,CAR,628.923
nhl_skater_summary,3,2,0,2,,0,5,0,Saad,0,0,8476438,0,2,0.4,L,0,0,20252026,0,0,0.0,L,5,Brandon Saad,VGK,521.4
nhl_skater_summary,3,6,3,3,0.61111,1,16,3,Hertl,0,2,8476881,-2,9,0.5625,C,0,6,20252026,0,0,0.11111,L,27,Tomas Hertl,VGK,779.0625
nhl_skater_summary,3,2,0,2,,0,13,0,Walker,0,16,8480336,13,2,0.15384,D,0,0,20252026,0,0,0.0,R,21,Sean Walker,CAR,1323.8461
nhl_skater_summary,3,16,2,12,0.49128,0,16,2,Eichel,0,12,8478403,7,18,1.125,C,0,6,20252026,0,0,0.04761,R,42,Jack Eichel,VGK,1334.0
nhl_skater_summary,3,14,5,10,0.41818,2,16,7,Marner,0,6,8478483,12,21,1.3125,R,2,7,20252026,0,4,0.17948,R,39,Mitch Marner,VGK,1275.6875
nhl_skater_summary,3,3,0,3,,0,12,0,Korczak,0,0,8481527,1,3,0.25,D,0,0,20252026,0,0,0.0,R,3,Kaedan Korczak,VGK,715.1666
nhl_skater_summary,3,2,1,2,0.2,1,13,1,Martinook,1,10,8476921,0,3,0.23076,L,0,0,20252026,0,1,0.03703,L,27,Jordan Martinook,CAR,964.6923
