game_date,away_team,home_team,away_score,home_score,bet_side,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after,skip_reason
2026-04-08,WSH,TOR,4,0,home,TOR,132.0,2.3200000000000003,0.5487315092551774,0.41368875152919965,0.43103448275862066,0.11769702649655678,0.1350427577259778,0.41368875152919965,0.2068614405090998,0.05,54.20991256899674,False,-54.20991256899674,1029.988338810938,
2026-04-09,SJS,ANA,1,6,skip,,-168.0,1.5952380952380953,0.6285731534366639,0.6017120437522292,0.6268656716417911,0.0017074817948727894,0.02686110968443467,0.6017120437522292,0.0,0.0,0.0,,0.0,1029.988338810938,below_min_edge
2026-04-09,CGY,COL,1,3,skip,,270.0,3.7,0.37111432793071353,0.25812399170315736,0.2702702702702703,0.10084405766044324,0.11299033622755617,0.7418760082968426,0.0,0.0,0.0,,0.0,1029.988338810938,below_min_model_prob
2026-04-09,VAN,LAK,1,4,home,LAK,-292.0,1.3424657534246576,0.7795367802217498,0.7139103780470004,0.7448979591836735,0.03463882103807625,0.06562640217474935,0.7139103780470004,0.13578417846925914,0.05,51.49941694054691,True,17.636786623474972,1047.6251254344131,
2026-04-09,TBL,MTL,1,2,skip,,100.0,2.0,0.5048320075660045,0.4782608695652174,0.5,0.004832007566004548,0.026571138000787142,0.4782608695652174,0.0,0.0,0.0,,0.0,1047.6251254344131,below_min_edge
2026-04-09,TOR,NYI,3,5,skip,,240.0,3.4,0.31184372140045347,0.28185928228313084,0.29411764705882354,0.017726074341629927,0.029984439117322625,0.7181407177168692,0.0,0.0,0.0,,0.0,1047.6251254344131,below_min_edge
2026-04-09,FLA,OTT,1,5,skip,,302.0,4.02,0.26845954865333754,0.23859890785654558,0.24875621890547264,0.0197033297478649,0.02986064079679196,0.7614010921434544,0.0,0.0,0.0,,0.0,1047.6251254344131,below_min_edge
2026-04-09,VGK,SEA,3,4,skip,,162.0,2.62,0.4056744683739003,0.36525075632732373,0.3816793893129771,0.023995079060923186,0.040423712046576576,0.36525075632732373,0.0,0.0,0.0,,0.0,1047.6251254344131,below_min_edge
2026-04-09,NSH,UTA,1,4,skip,,,,,,,,,0.6140609978682792,0.0,0.0,0.0,,0.0,1047.6251254344131,no_positive_kelly
2026-04-11,TBL,BOS,2,1,skip,,,,,,,,,0.4881618596642272,0.0,0.0,0.0,,0.0,1047.6251254344131,no_positive_kelly
2026-04-11,STL,CHI,5,3,skip,,125.0,2.25,0.4521923246656703,0.4242424242424243,0.4444444444444444,0.007747880221225856,0.027949900423245966,0.4242424242424243,0.0,0.0,0.0,,0.0,1047.6251254344131,below_min_edge
2026-04-11,VGK,COL,3,2,away,VGK,112.0,2.12,0.5084334583291932,0.45166769610870905,0.4716981132075472,0.036735345121646,0.05676576222048413,0.548332303891291,0.06953476040883001,0.034767380204415006,36.4231810476762,True,40.793962773397354,1088.4190882078105,
2026-04-11,NYR,DAL,0,2,skip,,152.0,2.52,0.41845952639845285,0.3789484842060632,0.3968253968253968,0.02163412957305605,0.039511042192389656,0.6210515157939368,0.0,0.0,0.0,,0.0,1088.4190882078105,below_min_edge
2026-04-11,NJD,DET,5,3,skip,,,,,,,,,0.5537388434710868,0.0,0.0,0.0,,0.0,1088.4190882078105,no_positive_kelly
2026-04-11,EDM,LAK,0,1,away,EDM,100.0,2.0,0.5521543306712655,0.4763948497854078,0.5,0.052154330671265514,0.07575948088585771,0.5236051502145922,0.10430866134253103,0.05,54.42095441039053,False,-54.42095441039053,1033.99813379742,
2026-04-11,CBJ,MTL,5,2,skip,,,,,,,,,0.5494975164606677,0.0,0.0,0.0,,0.0,1033.99813379742,no_positive_kelly
2026-04-11,WSH,PIT,6,3,home,PIT,127.0,2.27,0.5452277907484915,0.4227226030281085,0.44052863436123346,0.10469915638725802,0.12250518772038299,0.4227226030281085,0.18713943700714616,0.05,51.699906689871,False,-51.699906689871,982.298227107549,
2026-04-11,CGY,SEA,1,4,skip,,108.0,2.08,0.49084615730608105,0.4613143412107479,0.4807692307692308,0.010076926536850273,0.029531816095333174,0.5386856587892521,0.0,0.0,0.0,,0.0,982.298227107549,below_min_edge
2026-04-11,VAN,SJS,4,3,skip,,,,,,,,,0.6419085562511857,0.0,0.0,0.0,,0.0,982.298227107549,no_positive_kelly
2026-04-11,FLA,TOR,6,2,skip,,-130.0,1.7692307692307692,0.5746456401669493,0.5474222746950019,0.5652173913043478,0.009428248862601518,0.02722336547194737,0.5474222746950019,0.0,0.0,0.0,,0.0,982.298227107549,below_min_edge
2026-04-11,CAR,UTA,4,1,home,UTA,-131.0,1.7633587786259541,0.6219011022346113,0.541193294669103,0.5670995670995671,0.054801535135044155,0.08070780756550822,0.541193294669103,0.12659154616195192,0.05,49.11491135537745,False,-49.11491135537745,933.1833157521716,
2026-04-12,VAN,ANA,4,3,skip,,261.0,3.61,0.3779542340182128,0.265356994847497,0.2770083102493075,0.10094592376890532,0.11259723917071585,0.734643005152503,0.0,0.0,0.0,,0.0,933.1833157521716,below_min_model_prob
2026-04-12,BOS,CBJ,3,2,skip,,,,,,,,,0.6360260888682611,0.0,0.0,0.0,,0.0,933.1833157521716,no_positive_kelly
2026-04-12,UTA,CGY,1,4,skip,,139.0,2.3899999999999997,0.44707157955021026,0.4008226622431057,0.41841004184100417,0.028661537709206097,0.046248917307104565,0.4008226622431057,0.0,0.0,0.0,,0.0,933.1833157521716,below_min_edge
2026-04-12,OTT,NJD,3,4,skip,,,,,,,,,0.532129844319311,0.0,0.0,0.0,,0.0,933.1833157521716,no_positive_kelly
2026-04-12,PIT,WSH,0,3,skip,,122.0,2.2199999999999998,0.4794349316313643,0.4308089440820456,0.45045045045045046,0.028984481180913846,0.04862598754931868,0.5691910559179544,0.0,0.0,0.0,,0.0,933.1833157521716,below_min_edge
2026-04-13,BUF,CHI,5,1,skip,,169.0,2.69,0.3761636544391339,0.3553940011344825,0.37174721189591076,0.0044164425432231535,0.020769653304651414,0.3553940011344825,0.0,0.0,0.0,,0.0,933.1833157521716,below_min_edge
2026-04-13,COL,EDM,2,1,away,COL,-125.0,1.8,0.6261895853162323,0.53125,0.5555555555555556,0.07063402976067668,0.09493958531623226,0.46874999999999994,0.15892656696152266,0.05,46.65916578760858,True,37.327332630086865,970.5106483822584,
2026-04-13,NYR,FLA,2,3,home,FLA,132.0,2.3200000000000003,0.49141537597661217,0.41191381495564006,0.43103448275862066,0.060380893217991505,0.07950156102097211,0.41191381495564006,0.10612399414071245,0.05,48.52553241911292,True,64.05370279322906,1034.5643511754874,
2026-04-13,SJS,NSH,3,2,skip,,127.0,2.27,0.4601711870777161,0.42082242619039734,0.44052863436123346,0.01964255271648263,0.03934876088731876,0.5791775738096027,0.0,0.0,0.0,,0.0,1034.5643511754874,below_min_edge
2026-04-13,CAR,PHI,2,3,skip,,138.0,2.38,0.4639198841119765,0.4023718763235916,0.42016806722689076,0.043751816885085726,0.06154800778838487,0.5976281236764084,0.0,0.0,0.0,,0.0,1034.5643511754874,below_min_model_prob
2026-04-13,LAK,SEA,5,3,skip,,147.0,2.4699999999999998,0.4522752073915276,0.38833858622242234,0.4048582995951417,0.04741690779638591,0.06393662116910526,0.38833858622242234,0.0,0.0,0.0,,0.0,1034.5643511754874,below_min_model_prob
